gsp_id,gsp_name,latitude,longitude
0,NATIONAL,54.14213078742097,-2.737965631922495
1,ABHA1,50.44003470305086,-3.7644377670781655
2,ABNE_P,56.319275061921694,-3.4005265575652945
3,ABTH_1,51.43808422153952,-3.351979688212791
4,ACTL_2|CBNK_H|GREE_H|PERI_H|WESA_H,51.53326914456236,-0.3157650310809995
6,ALNE_P,57.755496695180604,-4.178391894854554
7,ALST_3|USKM_1,51.652056665534985,-2.890109160760172
8,ALVE1,50.89395266240477,-4.110539453458315
9,AMEM_1,51.74264297361297,-0.8643014645784114
10,ARBR_P,56.56654926615298,-2.667786966312724
11,ARDK_P|CLAC_P,56.22816997193032,-4.960161517298736
12,ARMO_P|HARG_P,57.535337279618204,-7.223678863754567
13,AXMI1,50.820703364444284,-2.876030976034496
14,AYRR,55.43273942174888,-4.624768712720425
15,BAGA,55.891587281224396,-3.703436600447116
16,BAIN,56.0424030934234,-3.7544319789425287
18,BEAU_P|ORRI_P,57.51454892311528,-4.617054339361122
19,BEDDT1,51.42397872657569,-0.02774839785906103
20,BEDD_1,51.33189227515643,-0.07713272221085185
21,BERB_P|CAIF_P|DALL_P|GLEF_P|KEIT_P,57.47959121743918,-2.9222497001735976
22,BERW,55.76050554174962,-2.094284831012337
23,BESW_1,52.28402572798036,-1.5300003135261757
24,BICF_1,53.07687651725233,-0.22177934202882663
25,BIRK_1,53.354774766835796,-3.0688264873995927
26,BISW_1,52.21835103385918,-2.6562549909552855
27,BLYTB1,55.130353424616196,-1.7173979160374215
28,BLYTH132,55.42130656128855,-1.8834752714423602
29,BOAG_P,57.15923259629591,-3.9094329206912057
30,BOLN_1,51.018105545149474,-0.26695871776016833
31,BONN,56.0115012137582,-3.958938786070739
32,BOTW_1,50.932659849232486,-1.2398385948907358
33,BRAC_P,56.25689506591387,-3.977882092684554
34,BRAI_1,51.865322018301654,0.5603360755242941
35,BRAP,55.86975704929988,-4.388410330918594
36,BRAW_1,53.96584698431661,-1.9504213010617122
37,BRED_1,53.391786442863555,-2.1260378728205094
